Order_ID,Date,Product,Category,Region,Sales_Amount,Quantity,Unit_Price,Discount,Customer_Segment
1001,2024-05-26,Bookshelf,Furniture,South,1662.5,7,250,0.05,Consumer
1002,2024-06-12,Bookshelf,Furniture,East,1800.0,8,250,0.1,Home Office
1003,2024-02-07,Desk,Furniture,East,2400.0,8,300,0.0,Consumer
1004,2024-06-09,Office Chair,Furniture,East,712.5,5,150,0.05,Consumer
1005,2024-06-12,Keyboard,Electronics,North,450.0,5,100,0.1,Home Office
1006,2024-12-17,Headphones,Electronics,East,324.0,4,90,0.1,Consumer
1007,2024-03-06,Tablet,Electronics,South,2700.0,9,300,0.0,Corporate
1008,2024-02-18,Tablet,Electronics,East,1530.0,6,300,0.15,Corporate
1009,2024-08-29,Bookshelf,Furniture,North,212.5,1,250,0.15,Consumer
1010,2024-03-01,Mouse,Electronics,South,297.5,7,50,0.15,Consumer
1011,2024-04-10,Desk Lamp,Home,West,142.5,3,50,0.05,Consumer
1012,2024-11-06,Tablet,Electronics,South,1020.0,4,300,0.15,Consumer
1013,2024-04-05,Bookshelf,Furniture,North,225.0,1,250,0.1,Consumer
1014,2024-05-22,Desk,Furniture,South,2550.0,10,300,0.15,Consumer
1015,2024-10-23,Bookshelf,Furniture,West,2500.0,10,250,0.0,Consumer
1016,2024-10-20,Mouse,Electronics,North,450.0,10,50,0.1,Corporate
1017,2024-09-16,Office Chair,Furniture,East,750.0,5,150,0.0,Home Office
1018,2024-01-06,Headphones,Electronics,West,720.0,8,90,0.0,Home Office
1019,2024-12-11,Smartphone,Electronics,South,3800.0,10,400,0.05,Corporate
1020,2024-02-19,Smartwatch,Electronics,West,1140.0,6,200,0.05,Consumer
1021,2024-02-14,Laptop,Electronics,North,2125.0,2,1250,0.15,Home Office
1022,2024-12-07,Monitor,Electronics,East,665.0,2,350,0.05,Corporate
1023,2024-11-08,Mouse,Electronics,West,150.0,3,50,0.0,Consumer
1024,2024-10-17,Webcam,Electronics,West,570.0,5,120,0.05,Corporate
1025,2024-10-04,Monitor,Electronics,East,1890.0,6,350,0.1,Home Office
1026,2024-09-20,Keyboard,Electronics,West,570.0,6,100,0.05,Home Office
1027,2024-03-11,Mouse,Electronics,South,450.0,9,50,0.0,Consumer
1028,2024-01-04,Monitor,Electronics,East,3150.0,10,350,0.1,Consumer
1029,2024-08-21,Smartwatch,Electronics,North,1360.0,8,200,0.15,Home Office
